NAME_1,NAME_2,lon,lat,F.dap,F,FDATE,FMCD,FACD,FDEP,FAMN,FAMP,FAMK,FAMC,FAMO,FOCD,FERNAME,q25,q50,q75
Kisumu,Nyando,34.875,-0.225,42,2,NA,FE006,AP004,5,30,39,0,-99,-99,-99,2nd fert. 2nd application,61,65,77
Kisumu,Nyando,34.875,-0.225,0,1,NA,FE006,AP004,5,22,29,0,-99,-99,-99,3rd fert. 1st application,61,65,77
Kisumu,Nyando,34.875,-0.225,42,2,NA,FE006,AP004,5,37,49,0,-99,-99,-99,3rd fert. 2nd application,61,65,77
Kisumu,Nyando,34.925,-0.225,0,1,NA,FE006,AP004,5,27,70,0,-99,-99,-99,1st fert. 1st application,62,69,76
Kisumu,Nyando,34.925,-0.225,42,2,NA,FE006,AP004,5,16,42,0,-99,-99,-99,1st fert. 2nd application,62,69,76
Kisumu,Nyando,34.925,-0.225,0,1,NA,FE006,AP004,5,22,56,0,-99,-99,-99,2nd fert. 1st application,62,69,76
Kisumu,Nyando,34.925,-0.225,42,2,NA,FE006,AP004,5,22,56,0,-99,-99,-99,2nd fert. 2nd application,62,69,76
Kisumu,Nyando,34.925,-0.225,0,1,NA,FE006,AP004,5,16,42,0,-99,-99,-99,3rd fert. 1st application,62,69,76
Kisumu,Nyando,34.925,-0.225,42,2,NA,FE006,AP004,5,27,70,0,-99,-99,-99,3rd fert. 2nd application,62,69,76
Kisumu,Nyando,34.975,-0.225,0,1,NA,FE006,AP004,5,41,71,0,-99,-99,-99,1st fert. 1st application,63,64,71
Kisumu,Nyando,34.975,-0.225,42,2,NA,FE006,AP004,5,25,42,0,-99,-99,-99,1st fert. 2nd application,63,64,71
Kisumu,Nyando,34.975,-0.225,0,1,NA,FE006,AP004,5,33,57,0,-99,-99,-99,2nd fert. 1st application,63,64,71
Kisumu,Nyando,34.975,-0.225,42,2,NA,FE006,AP004,5,33,57,0,-99,-99,-99,2nd fert. 2nd application,63,64,71
Kisumu,Nyando,34.975,-0.225,0,1,NA,FE006,AP004,5,25,42,0,-99,-99,-99,3rd fert. 1st application,63,64,71
Kisumu,Nyando,34.975,-0.225,42,2,NA,FE006,AP004,5,41,71,0,-99,-99,-99,3rd fert. 2nd application,63,64,71
Kisumu,Nyando,35.025,-0.225,0,1,NA,FE006,AP004,5,73,55,0,-99,-99,-99,1st fert. 1st application,67,75,78
Kisumu,Nyando,35.025,-0.225,42,2,NA,FE006,AP004,5,44,33,0,-99,-99,-99,1st fert. 2nd application,67,75,78
Kisumu,Nyando,35.025,-0.225,0,1,NA,FE006,AP004,5,58,44,0,-99,-99,-99,2nd fert. 1st application,67,75,78
Kisumu,Nyando,35.025,-0.225,42,2,NA,FE006,AP004,5,58,44,0,-99,-99,-99,2nd fert. 2nd application,67,75,78
Kisumu,Nyando,35.025,-0.225,0,1,NA,FE006,AP004,5,44,33,0,-99,-99,-99,3rd fert. 1st application,67,75,78
Kisumu,Nyando,35.025,-0.225,42,2,NA,FE006,AP004,5,73,55,0,-99,-99,-99,3rd fert. 2nd application,67,75,78
Kisumu,Muhoroni,35.275,-0.225,0,1,NA,FE006,AP004,5,69,46,0,-99,-99,-99,1st fert. 1st application,62,68,73
Kisumu,Muhoroni,35.275,-0.225,42,2,NA,FE006,AP004,5,42,27,0,-99,-99,-99,1st fert. 2nd application,62,68,73
Kisumu,Muhoroni,35.275,-0.225,0,1,NA,FE006,AP004,5,56,36,0,-99,-99,-99,2nd fert. 1st application,62,68,73
Kisumu,Muhoroni,35.275,-0.225,42,2,NA,FE006,AP004,5,56,36,0,-99,-99,-99,2nd fert. 2nd application,62,68,73
Kisumu,Muhoroni,35.275,-0.225,0,1,NA,FE006,AP004,5,42,27,0,-99,-99,-99,3rd fert. 1st application,62,68,73
Kisumu,Muhoroni,35.275,-0.225,42,2,NA,FE006,AP004,5,69,46,0,-99,-99,-99,3rd fert. 2nd application,62,68,73
Kisumu,Muhoroni,35.325,-0.225,0,1,NA,FE006,AP004,5,60,32,0,-99,-99,-99,1st fert. 1st application,65,69,76
